sample_id,domain,split,speckle_path,phase_path,pair_method,class_id,group_id,speckle_sha256,phase_sha256,phase_phash
digits_test_00000_000000,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00000.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00000.png,normalized_key,,5412e8f0d96afc508af05abb2a2330c0217a05a260b960e6edef440e65c8f7d2,3aba74d219b2cbc80ccc85f0f592aa7b3884596f65c476d2b3e31ecc6fd92e81,5412e8f0d96afc508af05abb2a2330c0217a05a260b960e6edef440e65c8f7d2,00000000000007e007f00ff00df81df81ff80ff80ff007f007e0000000000000
digits_test_00001_000001,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00001.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00001.png,normalized_key,,cb901a5f62bb3ad171f0ee2d5f74e01ba6315bedf38cb6714cbe9eddc8dd4c91,a91bbb58c5313b8667e7ae8fba1a82ab65560f17b790d9146a5e804335c907ed,cb901a5f62bb3ad171f0ee2d5f74e01ba6315bedf38cb6714cbe9eddc8dd4c91,000000000000002001f003f007f01fe01fe01ce000e000600000000000000000
digits_test_00002_000002,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00002.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00002.png,normalized_key,,f94d458d23becc38fc97080fb37c0fc300bac7d52ce0f37639a906e21eb8b64c,93568dc1a63ed13b6f5217c59266cfd8f0d27dfeb3dc9d2594d024c724e691fd,f94d458d23becc38fc97080fb37c0fc300bac7d52ce0f37639a906e21eb8b64c,0000000006000e000e700ff01ff01fe03f803e003c0000000000000000000000
digits_test_00003_000003,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00003.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00003.png,normalized_key,,2c7afc3ed93d3e8ff19a345d0b1f801445316f8931120abdbe774e7edb0a163d,868d659f72091d2ca4f10871c1d6d6f6268bb9d8d9c7518196c5d0c117441e86,2c7afc3ed93d3e8ff19a345d0b1f801445316f8931120abdbe774e7edb0a163d,00000000000007f00ff00e700ff81ff81ff80ff80ff007f007e0000000000000
digits_test_00004_000004,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00004.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00004.png,normalized_key,,8c63942c62228ec47c3d594f046638b761dd9b79bc1561fcc5c6462eacc0147e,5ba7afe18ff59c428abde2ff4fde11c0e1a9a295d7e6dccc9f516a627ca5cd76,8c63942c62228ec47c3d594f046638b761dd9b79bc1561fcc5c6462eacc0147e,00000000008007e007f00ff00fb81fb83fb83f381f701ff00fe0008000000000
digits_test_00005_000005,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00005.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00005.png,normalized_key,,bfc4fca3ed4607774e0cedcc8086708831114b1dd97b20cb1cfb4e202ba416b6,e55ab1f74c315eb91006b8798d7f457ee3db0b0de479e8dfaaefd9cb6496f544,bfc4fca3ed4607774e0cedcc8086708831114b1dd97b20cb1cfb4e202ba416b6,00000000000007e007f00ff00ff81ff81f781ef81ff01ff00fe0008000000000
digits_test_00006_000006,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00006.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00006.png,normalized_key,,a88a2cef2ec52c4582dfd48a159225ffda0c68ded2d051054a4d3a22eeb45357,ee635dbb77c6c52c082a09f236afd98420da85a027ca74996a167f7d6fc25db1,a88a2cef2ec52c4582dfd48a159225ffda0c68ded2d051054a4d3a22eeb45357,000000000ff00ff00ff00f800f00060000000000000000000000000000000000
digits_test_00007_000007,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00007.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00007.png,normalized_key,,23a65895ff26abab29a6eef5e0221eace03a6e92bcd726f3624f911984bdc9b5,d88ec45e42d04237fbcbfe809264272ebf7f5b07e55ee6f753a43a27785d7353,23a65895ff26abab29a6eef5e0221eace03a6e92bcd726f3624f911984bdc9b5,0000000001800fe00ff01ff01ff83f381c381c380e700ff007e0018000000000
digits_test_00008_000008,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00008.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00008.png,normalized_key,,eccac7f5da8bb9b4829c6cb1a003e151eab2bc2d68011ad6f1a0463f5597c2e6,0d44be5c94e6c1ac0766ae2611df0ca1db3287d7145d7c2a93e4b5d8bdde9eaa,eccac7f5da8bb9b4829c6cb1a003e151eab2bc2d68011ad6f1a0463f5597c2e6,00000000008007e00ff80ff80fb81cf81cf81c781ff81ff80fe0008000000000
digits_test_00009_000009,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00009.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00009.png,normalized_key,,1fc6c9d871f684da59afecadcc1702a0e945b9e12422bc9578ffd85c282fd9d5,0987f550c88e6c5530fc0a89f99af8ac132974fbff4de320f004d5ecaf2072b0,1fc6c9d871f684da59afecadcc1702a0e945b9e12422bc9578ffd85c282fd9d5,00000000010007e007f00ff01fb81fb81fb81fb80f700ff007e0000000000000
